Campaign Name,Facebook Page ID,Instagram Page ID,AdSet Start Time,AdSet End Time,Facebook Post ID,Instagram Post ID,Impressions,% Δ,CPM,% Δ,CPC,% Δ,Total Cost,% Δ,AdSet Start Time,% Δ
"Publication : « Hey everyone, check out this amazing video of the... »",100852902919142,4594959067184129,10 mai 2023,13 mai 2023,100852902919142_181434381515593,18351187081065402,593,0,13.49072512647555,0,0.21052631578947367,0,8,0,1,0
Publication : «  »,100852902919142,4594959067184129,10 mai 2023,13 mai 2023,100852902919142_181449891514042,18007967860639488,2212,0,4.068716094032549,0,0.10588235294117647,0,9,0,1,0
Publication : « Hi there!  »,100852902919142,4594959067184129,11 mai 2023,14 mai 2023,100852902919142_180055671653464,17957912810353003,8101,0,1.11097395383286,0,0.24324324324324326,0,9,0,1,0
"Publication : « 🎉 Hey everyone, check out our latest adventure at... »",100852902919142,4594959067184129,13 mai 2023,16 mai 2023,100852902919142_183407777984920,18097261069321960,5200,0,1.7307692307692306,0,0.08490566037735849,0,9,0,1,0
Publication Instagram : 🏊‍♀️👓 Découvrez les...,106674575654562,9348499811842096,16 mai 2023,23 mai 2023,106674575654562_186562221006871,18016764421598175,8557,0,0.4323945307935024,0,0.03217391304347826,0,3.7,0,1,0
[16/05/2023] Promotion de Claire vision,106674575654562,null,16 mai 2023,24 mai 2023,106674575654562_186634420999651,null,7548,,1.0400105988341282,,0.02162534435261708,,7.85,,1,
Publication : « 👍 Join us as we hike through the stunning Sasamat... »,100852902919142,4594959067184129,17 mai 2023,20 mai 2023,100852902919142_186133847712313,18191903725250235,1773,0,5.0761421319796955,0,0.3,0,9,0,1,0
Publication Instagram : 👀💫 Découvrez les verres...,106674575654562,9348499811842096,19 mai 2023,22 mai 2023,106674575654562_188587510804342,17990545213958075,38832,0,0.2315100947672023,0,0.06915384615384615,0,8.99,0,1,0
Publication Instagram : 🇫🇷 Lesson 7: Jad is back...,100852902919142,4594959067184129,20 mai 2023,30 mai 2023,100852902919142_168917382803613,18096839119324473,1010,0,9.653465346534654,0,0.2785714285714286,0,9.75,0,1,0
Publication Instagram : 😷 Saviez-vous que les...,106674575654562,9348499811842096,23 mai 2023,26 mai 2023,106674575654562_191753750487718,17930298047689556,13259,0,0.2255072026548005,0,0.09645161290322582,0,2.99,0,1,0
Publication : « #california #LEGO #jaddany #legoland »,100852902919142,4594959067184129,24 mai 2023,28 mai 2023,100852902919142_191015877224110,17982870827315257,2089,0,2.8721876495931067,0,0.2608695652173913,0,6,0,1,0
Publication Instagram : 🕶️🌞 Vous cherchez à...,106674575654562,9348499811842096,26 mai 2023,29 mai 2023,106674575654562_641030540819529,18294023416103659,7032,0,0.8503981797497157,0,0.04746031746031747,0,5.98,0,1,0
Publication Instagram : Les lunettes low cost...,106674575654562,9348499811842096,30 mai 2023,2 juin 2023,106674575654562_196935583302868,17912814422757281,9917,0,0.29847736210547543,0,0.06577777777777778,0,2.96,0,1,0
Publication : « Les lunettes low cost peuvent être nocives pour... »,106674575654562,9348499811842096,30 mai 2023,31 mai 2023,106674575654562_196927296637030,17939611670547173,1957,0,0.5109862033725089,0,0.0125,0,1,0,1,0
Publication : « How to make easiest safe homemade playdough »,100852902919142,4594959067184129,1 juin 2023,4 juin 2023,100852902919142_196472680011763,17955658388609836,3261,0,2.7598896044158234,0,0.10714285714285714,0,9,0,1,0
"Post: ""# CLAIRE VISION ☀️ 🕶️  | nouvelle collection été...""",106674575654562,9348499811842096,2 juin 2023,7 juin 2023,106674575654562_198840536445706,17934833450674154,25474,0,0.19627855853026616,0,0.007052186177715092,0,5,0,1,0
Publication Instagram : # CLAIRE VISION ☀️ 🕶️ |...,106674575654562,9348499811842096,2 juin 2023,8 juin 2023,106674575654562_198844763111950,18008033734735681,14250,0,0.4147368421052632,0,0.0441044776119403,0,5.91,0,1,0
Publication : «  »,100852902919142,4594959067184129,5 juin 2023,8 juin 2023,100852902919142_197861319872899,17981177474188897,1827,0,4.926108374384237,0,0.3103448275862069,0,9,0,1,0
[06/06/2023] Promotion de Claire vision,106674575654562,null,6 juin 2023,10 juin 2023,106674575654562_201759096153850,null,7146,,0.559753708368318,,0.010178117048346057,,4,,1,
Publication Instagram : 🕶️ Protégez vos yeux du...,106674575654562,9348499811842096,13 juin 2023,17 juin 2023,106674575654562_206999312296495,17970550106415639,7369,0,0.5360293119826299,0,0.05,0,3.95,0,1,0
Publication Instagram : 🌅🕶️ Découvrez la nouvelle...,106674575654562,9348499811842096,27 juin 2023,28 juin 2023,106674575654562_217387111257715,18012180808675922,1846,0,0.4875406283856988,0,0.025,0,0.9,0,1,0
Publication Instagram : 🚨 Attention ! Le syndrome...,106674575654562,9348499811842096,27 juin 2023,28 juin 2023,106674575654562_217387404591019,18014796277590174,1963,0,0.26999490575649515,0,0.53,0,0.53,0,1,0
"Publication : « 👀 Saviez-vous que chez Claire Vision, votre... »",106674575654562,9348499811842096,27 juin 2023,28 juin 2023,106674575654562_217384981257928,17855922068982940,4477,0,0.2233638597274961,0,0.00546448087431694,0,1,0,1,0
Publication Instagram : 👀 Saviez-vous que chez...,106674575654562,9348499811842096,27 juin 2023,28 juin 2023,106674575654562_217618541234572,17991404987022106,3091,0,0.28793270786153347,0,0.01977777777777778,0,0.89,0,1,0
Publication Instagram : 🕶️💎 Découvrez les...,106674575654562,9348499811842096,4 juil. 2023,8 juil. 2023,106674575654562_222262897436803,18041686627472724,31272,0,0.25422102839600924,0,0.046764705882352944,0,7.95,0,1,0
Publication : « Vous cherchez des lunettes de natation pour vous... »,106674575654562,9348499811842096,12 juil. 2023,13 juil. 2023,106674575654562_227156203614139,18276562945125634,8021,-0.39600903614457833,0.1957361924947014,-0.15329751259621022,0.0074407582938388625,0.09066489649103857,1.57,-0.4885993485342019,1,0
